word,lists,seen_tokens,seen_articles,last_seen
car,NGSL;Spoken,0,0,
carbon,NGSL,0,0,
card,NGSL;Spoken,0,0,
care,NGSL;Spoken,0,0,
career,NGSL,0,0,
careful,NGSL,0,0,
carefully,NGSL,0,0,
carpet,NGSL,0,0,
carrier,NAWL,0,0,
carry,NGSL;Spoken,0,0,
case,NGSL;Spoken,0,0,
cash,NGSL,0,0,
cast,NGSL,0,0,
castle,NGSL,0,0,
cat,NGSL,0,0,
catalog,NGSL,0,0,
catch,NGSL;Spoken,0,0,
category,NGSL,0,0,
cattle,NAWL,0,0,
cause,NGSL;Spoken,0,0,
celebrate,NGSL,0,0,
celebration,NGSL,0,0,
cell,NGSL,0,0,
censor,NAWL,0,0,
cent,NGSL,0,0,
center,NGSL;Spoken,0,0,
central,NGSL,0,0,
century,NGSL,0,0,
ceremony,NGSL,0,0,
certain,NGSL;Spoken,0,0,
certainly,NGSL;Spoken,0,0,
chain,NGSL,0,0,
chair,NGSL,0,0,
chairman,NGSL,0,0,
challenge,NGSL,0,0,
chamber,NGSL,0,0,
champion,NGSL,0,0,
championship,NGSL,0,0,
chance,NGSL;Spoken,0,0,
change,NGSL;Spoken,0,0,
channel,NGSL,0,0,
chapter,NGSL,0,0,
character,NGSL,0,0,
characteristic,NGSL,0,0,
characterization,NAWL,0,0,
characterize,NGSL,0,0,
charge,NGSL;Spoken,0,0,
charity,NGSL,0,0,
charm,NGSL,0,0,
chart,NGSL,0,0,
chase,NGSL,0,0,
chat,NGSL,0,0,
cheap,NGSL;Spoken,0,0,
cheat,NAWL,0,0,
check,NGSL;Spoken,0,0,
cheek,NGSL,0,0,
cheer,NAWL,0,0,
cheese,NGSL,0,0,
chemical,NGSL,0,0,
chemistry,NAWL,0,0,
chemotherapy,NAWL,0,0,
chess,NAWL,0,0,
chest,NGSL,0,0,
chicken,NGSL,0,0,
chief,NGSL,0,0,
child,NGSL;Spoken,0,0,
childhood,NGSL,0,0,
chip,NGSL,0,0,
chloride,NAWL,0,0,
chocolate,NGSL,0,0,
choice,NGSL;Spoken,0,0,
choose,NGSL;Spoken,0,0,
chromosome,NAWL,0,0,
chronic,NAWL,0,0,
chunk,NAWL,0,0,
church,NGSL;Spoken,0,0,
cigarette,NGSL,0,0,
cinema,NAWL,0,0,
circa,NAWL,0,0,
circle,NGSL,0,0,
circulate,NAWL,0,0,
circulation,NAWL,0,0,
circumstance,NGSL,0,0,
cite,NGSL,0,0,
citizen,NGSL,0,0,
city,NGSL;Spoken,0,0,
civil,NGSL,0,0,
